glucose,eda,hr,temp
119.0,0.267782,63.18,33.97
117.0,0.427939,66.27,33.79
119.0,0.1732895,65.98,33.97
119.0,0.1893055,54.45,33.89
116.0,0.03619525,79.38,32.83
124.0,0.3532522499999999,64.15,34.5
96.0,0.2684225,55.07,34.41
99.0,0.23222725,61.6,33.81
103.0,0.2001424999999999,54.48,35.11
103.0,0.195658,54.67,35.16
103.0,0.1940565,56.07,35.23
103.0,0.19758,55.27,35.33
103.0,0.1985407499999999,55.3,35.37
104.0,0.1991814999999999,56.63,35.49
104.0,0.1972597499999999,58.08,35.5
104.0,0.1991817499999999,58.3,35.49
104.0,0.1988612499999999,56.15,35.41
104.0,0.1556725,57.12,35.49
104.0,0.16271925,56.2,35.61
104.0,0.0518904999999999,53.97,35.81
104.0,0.04644525,55.08,35.81
105.0,0.042922,54.7,35.77
105.0,0.26009425,56.2,35.75
105.0,5.319277250000001,60.8,35.83
102.0,0.3029632499999999,54.27,35.29
102.0,0.2773382499999999,53.25,35.43
102.0,0.2658065,53.85,35.57
102.0,0.2610019999999999,54.6,35.61
103.0,0.25619725,56.75,35.73
105.0,0.060219,54.52,35.71
106.0,0.154391,53.37,35.73
105.0,0.2498447499999999,58.77,35.91
103.0,0.4013525,53.63,35.84
102.0,0.4734389999999999,62.05,35.66
102.0,0.2174395,57.5,35.63
103.0,0.223205,56.65,35.81
104.0,0.2225644999999999,55.02,35.95
98.0,0.2635645,57.55,33.49
97.0,0.25747875,57.02,33.18
130.0,3.16683225,56.93,32.59
117.0,0.214864,57.45,32.89
78.0,5.32312125,59.23,35.45
73.0,1.44314,63.72,35.23
78.0,4.795541,67.88,34.11
83.0,3.51672325,60.55,34.97
81.0,18.95027725,75.0,33.79
91.0,0.3142082499999999,66.1,33.11
86.0,1.83527925,62.55,34.03
92.0,0.4089622499999999,62.87,32.77
87.0,9.404039,68.62,32.55
69.0,2.1693462500000003,60.8,35.21
72.0,3.9647945,62.6,35.23
74.0,0.613379,64.18,35.77
74.0,0.58421675,69.8,35.79
76.0,0.4701919999999999,60.65,35.33
112.0,0.3023042499999999,60.68,33.84
123.0,0.4256712499999999,63.37,33.25
111.0,0.3600107499999999,67.1,33.49
97.0,0.29050675,70.58,33.73
91.0,0.3762925,64.82,34.84
87.0,0.1815534999999999,62.63,34.65
80.0,0.2295975,62.83,34.49
80.0,0.350722,61.55,34.37
80.0,0.2684065,76.12,34.45
81.0,0.93719675,70.82,34.15
83.0,0.58871625,67.68,34.23
78.0,0.52330725,60.37,34.18
85.0,0.817017,60.72,34.61
